thema;bron;Deelmodel;attribuut;waarde;label-nl;definitie;naam waardelijst;URL
elekt-enex-lian;;wion;us-net-common:appurtenanceType;geulmof;geulmof;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/geulmof
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbMeetpunt;kb meetpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbMeetpunt
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbInstallatie;kb installatie;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbInstallatie
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbEindpunt;kb eindpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbEindpunt
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;kbContact;kb contact;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/kbContact
elekt-enex-lian;imkl2015;wion;us-net-common:appurtenanceType;hoogbouwkoppelpunt;hoogbouwkoppelpunt;definitie;ElectricityAppurtenanceTypeIMKLValue;http://www.geonovum.nl/imkl2015/1.0/def/ElectricityAppurtenanceTypeIMKLValue/hoogbouwkoppelpunt
telecom;imkl2015;wion;us-net-common:appurtenanceType;antenna;antenna;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/antenna
telecom;imkl2015;wion;us-net-common:appurtenanceType;termination;termination;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/termination
telecom;imkl2015;wion;us-net-common:appurtenanceType;handhole;handhole;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/handhole
telecom;imkl2015;wion;us-net-common:appurtenanceType;mof;mof;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/mof
telecom;imkl2015;wion;us-net-common:appurtenanceType;verzameltermOndergrondseLeidingelementenOpnemen;verzameltermOndergrondseLeidingelementenOpnemen;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/verzameltermOndergrondseLeidingelementenOpnemen
telecom;imkl2015;wion;us-net-common:appurtenanceType;kabelverdeler;kabelverdeler;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/kabelverdeler
telecom;imkl2015;wion;us-net-common:appurtenanceType;Stijgleiding;Stijgleiding;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/Stijgleiding
telecom;imkl2015;wion;us-net-common:appurtenanceType;GTWPOpnemen;GTWPOpnemen;definitie;TelecommunicationsAppurtenanceIMKLTypeValue;http://www.geonovum.nl/imkl2015/1.0/def/TelecommunicationsAppurtenanceIMKLTypeValue/GTWPOpnemen
