thema	bron	Deelmodel	attribuut	waarde	label-nl	definitie	naam waardelijst	URL
algemeen	imkl2015	wion	imkl:diepteAangrijpingspunt	binnenonderkantBuis	binnenonderkant buis	Binnenonderkant buis van de leiding ter plaatse van het beginpunt. Alleen optioneel toegestaan voor het thema riool vrijverval.	DiepteAangrijpingspuntValue	http://www.geonovum.nl/imkl2015/1.0/def/DiepteAangrijpingspuntValue/binnenonderkantBuis
algemeen	imkl2015	wion	imkl:extraInfoType	aansluiting	aansluiting	De kabel of leiding die een kabel of leiding verbindt met een aansluitpunt anders dan een huisaansluiting.	ExtraDetailInfoTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/aansluiting
algemeen	imkl2015	wion	imkl:extraInfoType	huisaansluiting	huisaansluiting	De kabel of leiding die een kabel of leiding verbindt met een huisaansluitpunt.		
algemeen	imkl2015	wion	imkl:extraInfoType	profielschets	profielschets	Dwars- en of lengteprofiel.	ExtraDetailInfoTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/profielschets
algemeen	imkl2015	wion	imkl:extraInfoType	overig	overig	Een type detail dat niet met de andere waarden is benoemd.	ExtraDetailInfoTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ExtraDetailInfoTypeValue/overig
algemeen	imkl-be	wion	imkl:extraTopografieType	eigen	eigen	Topografie die door de netbeheerder specifiek geregistreerd is ter bepaling van de locatie van een leiding.	ExtraTopografieTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ExtraTopografieTypeValue/eigen
algemeen	imkl-be	wion	imkl:extraTopografieType	ontwerp	ontwerp	Topografie van nog niet gerealiseerde maar wel geplande topografie-objecten.	ExtraTopografieTypeValue	http://www.geonovum.nl/imkl2015/1.0/def/ExtraTopografieTypeValue/ontwerp
algemeen	imkl2015	wion		eigenaar	eigenaar		PartyRoleExtendedValue	http://www.geonovum.nl/imkl2015/1.0/def/PartyRoleExtendedValue/eigenaar
algemeen	imkl2015	wion		exploitant	exploitant		PartyRoleExtendedValue	http://www.geonovum.nl/imkl2015/1.0/def/PartyRoleExtendedValue/exploitant
algemeen	imkl-be	wion	imkl:geoNauwkeurigheidXY	tot30cm	tot30cm	Nauwkeurigheidsgraad tot op 30 cm.	NauwkeurigheidXYvalue	http://www.geonovum.nl/imkl2015/1.0/def/NauwkeurigheidXYvalue/tot30cm
